betaP, Volume Fraction
1.000000000000000056e-01,5.546621410067110319e-02
1.000000000000000056e-01,5.341929090002519448e-02
1.000000000000000056e-01,5.338357652064040781e-02
1.000000000000000056e-01,5.417353392262178741e-02
1.000000000000000056e-01,5.199070091406232663e-02
1.000000000000000056e-01,4.898348565868070742e-02
1.000000000000000056e-01,5.265567566502032948e-02
1.000000000000000056e-01,5.345639906784265677e-02
1.000000000000000056e-01,5.378741592213290984e-02
1.000000000000000056e-01,5.566886318705015213e-02
1.000000000000000056e-01,5.689737863215612451e-02
1.000000000000000056e-01,5.464364551280140314e-02
1.000000000000000056e-01,5.356100296517512377e-02
1.000000000000000056e-01,5.621496198321201260e-02
1.000000000000000056e-01,6.125311480311206036e-02
1.000000000000000056e-01,5.965722276934255774e-02
1.000000000000000056e-01,5.711761355625671194e-02
1.000000000000000056e-01,6.022348688497075608e-02
1.000000000000000056e-01,5.923577504320220316e-02
1.000000000000000056e-01,5.559559210187867834e-02
1.000000000000000056e-01,5.368953377427092277e-02
1.000000000000000056e-01,5.302544269500558682e-02
1.000000000000000056e-01,5.338048746860906552e-02
1.000000000000000056e-01,5.416192128938375483e-02
1.000000000000000056e-01,5.621320063372261394e-02
1.000000000000000056e-01,5.652720387824190090e-02
1.000000000000000056e-01,5.558454229922615147e-02
1.000000000000000056e-01,5.301511378171432087e-02
1.000000000000000056e-01,5.552475638258894813e-02
1.000000000000000056e-01,5.774426683023459184e-02
1.000000000000000056e-01,5.433346016458449196e-02
1.000000000000000056e-01,5.332376954390205537e-02
1.000000000000000056e-01,5.472637724911330603e-02
1.000000000000000056e-01,5.410734654840985286e-02
1.000000000000000056e-01,5.467591425175184067e-02
1.000000000000000056e-01,5.340348013386635173e-02
1.000000000000000056e-01,5.469013259418636225e-02
1.000000000000000056e-01,5.293518520495280044e-02
1.000000000000000056e-01,5.295898437123120611e-02
1.000000000000000056e-01,5.212124086125685674e-02
1.000000000000000056e-01,5.229016107067958191e-02
1.000000000000000056e-01,5.384305380889874842e-02
1.000000000000000056e-01,5.283879445197854630e-02
1.000000000000000056e-01,5.246711130846941351e-02
1.000000000000000056e-01,5.254646368416749508e-02
1.000000000000000056e-01,5.176282826417385324e-02
1.000000000000000056e-01,5.204201812476884348e-02
1.000000000000000056e-01,5.254840903205140745e-02
1.000000000000000056e-01,5.512527763288577187e-02
1.000000000000000056e-01,5.598578884361062047e-02
1.000000000000000056e-01,5.299797261177471158e-02
1.000000000000000056e-01,5.136067223223671208e-02
1.000000000000000056e-01,4.942135640261210994e-02
1.000000000000000056e-01,4.808035855231908295e-02
1.000000000000000056e-01,4.885631730671050749e-02
1.000000000000000056e-01,4.719753496015953453e-02
1.000000000000000056e-01,4.530142629697089113e-02
1.000000000000000056e-01,4.436064299233052899e-02
1.000000000000000056e-01,4.478678362085745240e-02
1.000000000000000056e-01,4.360238216538403488e-02
1.000000000000000056e-01,4.383979668530810919e-02
1.000000000000000056e-01,4.594683572628940893e-02
1.000000000000000056e-01,4.658227001155797881e-02
1.000000000000000056e-01,4.632702031282898841e-02
1.000000000000000056e-01,4.584178632114987995e-02
1.000000000000000056e-01,4.429692509361380509e-02
1.000000000000000056e-01,4.405105475032820156e-02
1.000000000000000056e-01,4.342036243455248135e-02
1.000000000000000056e-01,4.345256574879880623e-02
1.000000000000000056e-01,4.523022431610571048e-02
1.000000000000000056e-01,4.606633472879287372e-02
1.000000000000000056e-01,4.307984112494356310e-02
1.000000000000000056e-01,4.448710706351444860e-02
1.000000000000000056e-01,4.492461772553673488e-02
1.000000000000000056e-01,4.557293692207815827e-02
1.000000000000000056e-01,4.538945702807974797e-02
1.000000000000000056e-01,4.474329443572128834e-02
1.000000000000000056e-01,4.279849389792242387e-02
1.000000000000000056e-01,4.496263118970769690e-02
1.000000000000000056e-01,4.588428945901736750e-02
1.000000000000000056e-01,4.694519896531077624e-02
1.000000000000000056e-01,4.798538333286538754e-02
1.000000000000000056e-01,4.838102655973769428e-02
1.000000000000000056e-01,4.726567152652866310e-02
1.000000000000000056e-01,4.683153495838756480e-02
1.000000000000000056e-01,4.476175395037119281e-02
1.000000000000000056e-01,4.661179574934433412e-02
1.000000000000000056e-01,4.557010102421911457e-02
1.000000000000000056e-01,4.616069998087528325e-02
1.000000000000000056e-01,4.654287256156595248e-02
1.000000000000000056e-01,4.702573596575378156e-02
1.000000000000000056e-01,4.865002736501093661e-02
1.000000000000000056e-01,4.852831281179832701e-02
1.000000000000000056e-01,4.754433832855767955e-02
1.000000000000000056e-01,4.779542731669753075e-02
1.000000000000000056e-01,4.898196420572747262e-02
1.000000000000000056e-01,5.124388131086719811e-02
1.000000000000000056e-01,4.997568673066602601e-02
1.000000000000000056e-01,5.109540694086112805e-02
1.000000000000000056e-01,5.178979286486738720e-02
1.000000000000000056e-01,5.319660201506327263e-02
1.000000000000000056e-01,5.405417018473968743e-02
1.000000000000000056e-01,5.122459097519443255e-02
1.000000000000000056e-01,5.297599907032866234e-02
1.000000000000000056e-01,5.446671105050218675e-02
1.000000000000000056e-01,5.460258553919270647e-02
1.000000000000000056e-01,5.583450480586436143e-02
1.000000000000000056e-01,5.540502336516624216e-02
1.000000000000000056e-01,5.456673145315209944e-02
1.000000000000000056e-01,5.370651740538782276e-02
1.000000000000000056e-01,5.688536348769494128e-02
1.000000000000000056e-01,5.710542653390438678e-02
1.000000000000000056e-01,5.754319776997879332e-02
1.000000000000000056e-01,5.643681096313674095e-02
1.000000000000000056e-01,5.463701126870075531e-02
1.000000000000000056e-01,5.336532162948542241e-02
1.000000000000000056e-01,5.191000246856184580e-02
1.000000000000000056e-01,5.052024240909388370e-02
1.000000000000000056e-01,5.306787447052837420e-02
1.000000000000000056e-01,5.210760124524738135e-02
1.000000000000000056e-01,5.555897031136276809e-02
1.000000000000000056e-01,5.540245281272947186e-02
1.000000000000000056e-01,5.396608413586034825e-02
1.000000000000000056e-01,5.465194323584079972e-02
1.000000000000000056e-01,5.439363115538841525e-02
1.000000000000000056e-01,5.312575546075011534e-02
1.000000000000000056e-01,5.610503621161797710e-02
1.000000000000000056e-01,5.541352205499479322e-02
1.000000000000000056e-01,5.551589375990260977e-02
1.000000000000000056e-01,5.402690392541229653e-02
1.000000000000000056e-01,5.360913126020191988e-02
1.000000000000000056e-01,5.363117518117493238e-02
1.000000000000000056e-01,5.211327805341765124e-02
1.000000000000000056e-01,4.841390372083160393e-02
1.000000000000000056e-01,4.808283042014497438e-02
1.000000000000000056e-01,4.681795982116156163e-02
1.000000000000000056e-01,4.654599728264989522e-02
1.000000000000000056e-01,4.487751084739174945e-02
1.000000000000000056e-01,4.624873099161611739e-02
1.000000000000000056e-01,4.786865001038022316e-02
1.000000000000000056e-01,4.578693317669543100e-02
1.000000000000000056e-01,4.759528759572788370e-02
1.000000000000000056e-01,4.526642947064401373e-02
1.000000000000000056e-01,4.579159348974604082e-02
1.000000000000000056e-01,4.690339054873303437e-02
1.000000000000000056e-01,4.753549723696171708e-02
1.000000000000000056e-01,4.931821153132363161e-02
1.000000000000000056e-01,4.997599842527652991e-02
1.000000000000000056e-01,4.819364326635523083e-02
1.000000000000000056e-01,5.074599684148765888e-02
1.000000000000000056e-01,5.416469111614886922e-02
1.000000000000000056e-01,5.434929949916775943e-02
1.000000000000000056e-01,5.225579401523672979e-02
1.000000000000000056e-01,5.266609746318902385e-02
1.000000000000000056e-01,5.004941763180389969e-02
1.000000000000000056e-01,4.879581386118737873e-02
1.000000000000000056e-01,5.096241427028295329e-02
1.000000000000000056e-01,4.866030386119496454e-02
1.000000000000000056e-01,4.688007243295452819e-02
1.000000000000000056e-01,4.622141678681730009e-02
1.000000000000000056e-01,4.516607687536804833e-02
1.000000000000000056e-01,4.334247745658459383e-02
1.000000000000000056e-01,4.189127905456852680e-02
1.000000000000000056e-01,4.261738610005181421e-02
1.000000000000000056e-01,4.287587680978229704e-02
1.000000000000000056e-01,4.319998686162562079e-02
1.000000000000000056e-01,4.214893792017130464e-02
1.000000000000000056e-01,4.143760802917690472e-02
1.000000000000000056e-01,4.124512112116208301e-02
1.000000000000000056e-01,4.097714724802255931e-02
1.000000000000000056e-01,3.876202858478119961e-02
1.000000000000000056e-01,3.857134692211316301e-02
1.000000000000000056e-01,3.900847260973899777e-02
1.000000000000000056e-01,3.879782652236724722e-02
1.000000000000000056e-01,4.030555667009735887e-02
1.000000000000000056e-01,4.180441335285098314e-02
